,sentence,#aspect terms,aspect_terms,at_polarity
1790,मैंने first time यहाँ खाया और absolutely पसंद किया!,0,[],[]
1791,"हालांकि अंदर बैठने के लिए expect न करें, केवल कुछ tables हैं और वे always full रहते हैं।",1,['tables'],['negative']
1792,"Staff accomodate कर रहा है, ambiance exciting और अभी तक relax है, और food इस world से बाहर का है!",3,"['Staff', 'ambiance', 'food']","['positive', 'positive', 'positive']"
1793,यह neighborhood में मेरा favorite place है।,0,[],[]
1794,But too far east!,0,[],[]
1795,Satisfying.,0,[],[]
1796,Highly Highly Highly recommended!,0,[],[]
1797,"यह place East Village में रहने के लिए काफी cool है, लेकिन French आपको यह feel करने के लिए enough है कि आप Paris के bistro के पीछे की alley में हो सकते हैं।",0,[],[]
1798,"लेकिन जब हमने menu को देखा, तो बहुत सारे choices नहीं थे, उनमें से अधिकांश appetizer section में dumplings थे।",3,"['menu', 'dumplings', 'appetizer']","['negative', 'neutral', 'negative']"
1799,मेरे 3rd time के बाद manager ने मुझे याद किया और एक usual customer की तरह treat किया।,1,['manager'],['positive']
1800,Fish बहुत ही fresh है।,1,['Fish'],['positive']
1801,Service और food की quality की तुलना में prices सस्ती थीं।,3,"['prices', 'Service', 'food']","['positive', 'positive', 'positive']"
1802,"यह हमारे afternoon theater के लिए बिलकुल perfect quiet, relaxing और delicious accompaniment था।",0,[],[]
1803,"The decor is really blah, and not at all hip or happening.",1,['decor'],['negative']
1804,आप Red Eye Grill में wrong नहीं जा सकते।,0,[],[]
1805,यह owner's का first venture लगता है और यह दिखाता है।,1,['owner'],['negative']
1806,"मैं pizzeria owners की एक family से आता हूं, और मैं almost यह कहते हुए ashamed हूँ कि Fornino's के pizza ने मेरे families receipies को बर्बाद कर दिया है।",1,['pizza'],['positive']
1807,मैं month में twice जाता हूँ।,0,[],[]
1808,उनके पास different cream cheeses का एक विशाल selection है और उनके सभी salads शानदार हैं।,2,"['cream cheeses', 'salads']","['positive', 'positive']"
1809,Lobster sandwich अच्छा है और spaghetti with Scallops and Shrimp बढ़िया है।,2,"['Lobster sandwich', 'spaghetti with Scallops and Shrimp']","['positive', 'positive']"
1810,"Dim sum delectable है, जबकि wallet के लिए prices काफी easy है।",2,"['Dim sum', 'prices']","['positive', 'positive']"
1811,City जाने के लिए million अच्छे places हैं।,0,[],[]
1812,I love it.,0,[],[]
1813,"हमारे पास 9pm तक का reservations था, लेकिन 10:15pm तक नहीं बैठे थे।",1,['reservations'],['negative']
1814,हमारे पास Pam's special fried fish थी और यह शानदार थी।,1,['Pam's special fried fish'],['positive']
1815,Three strikes और यह restaurant बंद हो जाएगा।,0,[],[]
1816,मेरे boyfriend के पास New England Chowder था यह अच्छा था लेकिन मुझे लगता है कि award Lobster Bisque को जाना चाहिए।,2,"['New England Chowder', 'Lobster Bisque']","['positive', 'positive']"
1817,"इसलिए, वहाँ थोड़ी inconsistency है लेकिन फिर भी, दोनों ही pizzas really अच्छे थे।",1,['pizzas'],['positive']
1818,मुझे इस food के लिए कहना चाहिए कि यह little pricey है क्योंकि यह उतना spectacular नहीं दिखता था।,1,['food'],['negative']
1819,French indian fusion के ये innovators dishes बनाने का एक great job करते हैं जो अभी भी accessible होने के साथ possibly interesting है।,2,"['French indian fusion', 'dishes']","['positive', 'positive']"
1820,"हम worried थे कि हमें अंदर जाने में trouble होगा, लेकिन किसी तरह से short wait करके manage किया।",1,['wait'],['positive']
1821,मेरी wife के पास fried shrimp थी जो huge और उसे बहुत पसंद है।,1,['fried shrimp'],['positive']
1822,"सबकुछ जो मैंने खाया good था, और मैं एक eater हूँ।",0,[],[]
1823,Food के लिए किसी को Lucky Strike नहीं जाना चाहिए।,1,['Food'],['negative']
1824,हम केवल एक appetizer और cheese fondue के माध्यम से पा सकते हैं।,2,"['appetizer', 'cheese fondue']","['neutral', 'neutral']"
1825,"उस matter के लिए सब कुछ try करो, यह सभी good है।",0,[],[]
1826,इस place पर regular आकर happy हूँ और किसी को भी warmly इसे recommend करता हूँ।,0,[],[]
1827,Green curry को आज़माएँ!!!,1,['Green curry'],['positive']
1828,हमारे reservation के time भी हमें promptly बैठाया गया था और service बहुत quick और professional था।,2,"['service', 'reservation']","['positive', 'positive']"
1829,"आपको rarely ही कभी seat के लिए wait करना पड़ता है और currys (massaman, green, red) flavor से full होता है और अगर आप इसे चाहते हैं तो ये super spicy बनते हैं।",3,"['seat', 'currys (massaman, green, red)', 'flavor']","['positive', 'positive', 'positive']"
1830,मैं agree करता हूँ।,0,[],[]
1831,"पिछले memorial day, मैंने reservations करने के लिए try किया, लेकिन बताया गया कि वो उस weekend close हो गया था (interesting, लेकिन...)।",1,['reservations'],['negative']
1832,Food अच्छा था।,1,['Food'],['positive']
1833,मैंने सब कुछ enjoy किया है जो भी मैंने पाया है और fish बहुत fresh है और हमेशा great तरीके से prepare किया गया है।,1,['fish'],['positive']
1834,मैं particularly उनके yellowfun tuna और उनके mussel selection को पसंद करता हूं।,2,"['yellowfun tuna', 'mussel selection']","['positive', 'positive']"
1835,Recommended.,0,[],[]
1836,Place nice और calm था।,1,['Place'],['positive']
1837,Cheese plate 10$ में एक varied delight और शानदार bargain है।,1,['Cheese plate'],['positive']
1838,"जब हम बैठ गए, तो हमें great और fast service मिली।",1,['service'],['positive']
1839,"अधिकांश servers बहुत attentive, friendly और काफी attractive हैं।",1,['servers'],['positive']
1840,Service is average.,1,['Service'],['neutral']
1841,लेकिन उन्होंने सभी typical pizzeria faves और कुछ कमाल के specials Godmother pizza (a sort of traditional flat pizza with an olive oil-brushed crust and less tomato sauce than usual) के लिए अच्छा job किया है।,2,"['Godmother pizza (a sort of traditional flat pizza with an olive oil-brushed crust and less tomato sauce than usual)', 'specials']","['positive', 'positive']"
1842,Go girls!!!,0,[],[]
1843,"Steak अच्छी है, fish अच्छी है और sushi surprisingly शानदार थी।",3,"['Steak', 'fish', 'sushi']","['positive', 'positive', 'positive']"
1844,पुराने school New world से मिलता है,0,[],[]
1845,"Number 1 बने रहने के लिए, इस place पर अपने so called reputation को truly earn करने के लिए बहुत से work करने हैं।",0,[],[]
1846,एक East side वाला एक west side वाले की तुलना में ज्यादा अच्छा है।,0,[],[]
1847,They all know you.,0,[],[]
1848,हमने dinner surprisingly light और flaky apple tarte tatin के साथ खत्म किया।,2,"['apple tarte tatin', 'dinner']","['positive', 'neutral']"
1849,Waitstaff बहुत friendly हैं।,1,['Waitstaff'],['positive']
1850,यह restaurant कितना शानदार place है।,0,[],[]
1851,"एक बार जब आप Cosette में step रखते हैं, तो आप miraculously एक छोटे, off-the-beaten path Parisian bistro में होते हैं।",0,[],[]
1852,Terrible experience.,0,[],[]
1853,मुझे यह place पसंद है।,0,[],[]
1854,"Food average से कम था, service pathetic थी, कोई भी ambience नहीं था।",3,"['Food', 'service', 'ambience']","['negative', 'negative', 'negative']"
1855,मैंने REALLY में ACTORS द्वारा किए गए SHOWS को ENJOY किया।,2,"['SHOWS', 'ACTORS']","['positive', 'positive']"
1856,यह definintely मेरा सबसे least favorite है।,0,[],[]
1857,मुझसे friends ने mermaid inn को check out करने के लिए कई months से urge कर रहे है।,0,[],[]
1858,Miso soup में flavor की कमी थी और fish unfortunately पहले की तरह prepared नहीं था।,3,"['Miso soup', 'fish', 'flavor']","['negative', 'negative', 'negative']"
1859,"हर बार मैं और मेरे husband वहां जाते हैं, हम कभी disappoint नहीं हुए।",0,[],[]
1860,मैंने यह best bagels खाये हैं।,1,['bagels'],['positive']
1861,हम disappointed नहीं है।,0,[],[]
1862,"$ 2 filets के लिए $ 160, 2 sides, एक appetizer और drinks.",4,"['filets', 'sides', 'appetizer', 'drinks']","['neutral', 'neutral', 'neutral', 'neutral']"
1863,"जबकि prices कुछ भी special नहीं हैं, लेकिन portions बहुत huge है।",2,"['prices', 'portions']","['neutral', 'positive']"
1864,"हालांकि, मुझे लगता है कि यह place एक अच्छा hang out spot है।",1,['spot'],['positive']
1865,"Rao एक अच्छा restaurant है, लेकिन यह कुछ special नहीं है।",0,[],[]
1866,Wine list extensive और impressive है।,1,['Wine list'],['positive']
1867,हमारे पास सबसे wonderful waitress थी।,1,['waitress'],['positive']
1868,"जबकि इस छोटे से bistro के staff बहुत friendly हैं, मैंने कभी अधिक incompetency को experience नहीं किया है।",1,['staff'],['positive']
1869,"जब हम 8:00 बजे रवाना हुए, तो यह packed और noisy था।",0,[],[]
1870,"Zucchini और mashed potatoes के साथ garlic और butter का blend है, जो आपके mouth में simply melt हो जाता है।",4,"['Zucchini', 'mashed potatoes', 'garlic', 'butter']","['positive', 'positive', 'positive', 'positive']"
1871,Staff courteous और friendly है।,1,['Staff'],['positive']
1872,Never fails to please.,0,[],[]
1873,"Decor अच्छी है, हालांकि service spotty हो सकती है।",2,"['Decor', 'service']","['positive', 'negative']"
1874,"Rushed service के अलावा, हम food और drinks से बहुत impressed थे।",3,"['service', 'food', 'drinks']","['negative', 'positive', 'positive']"
1875,Will absolutely visit again.,0,[],[]
1876,मैं इस place को किसी ऐसे को recommend करूंगा जो एक fine Indian dining experience की तलाश में है जो definitely आपके dollar के लिए एक value है।,1,['Indian dining experience'],['positive']
1877,"और अपने Pub atmosphere के साथ, वे मेरे kids के लिए भी great थे!",1,['Pub atmosphere'],['conflict']
1878,यह big draw आप सभी को यहाँ $ 19.95 पर sushi दे सकते हैं!,1,['sushi'],['positive']
1879,मैं NYC में Grand Sichuan restaurant को सबसे अच्छा मानता हूं।,0,[],[]
1880,हमने 50 $ spent किए definitely अपने friends के साथ वापस आ जाएगा !!!,0,[],[]
1881,मेरे birthday पर last night में Village गए।,0,[],[]
1882,"कुछ workers मुझे ignore करके और female customers से बात करते हैं, other times, उन्होने मेरे order को skip कर दिया है।",2,"['workers', 'order']","['negative', 'negative']"
1883,Usually specials भी काफी अच्छे होते हैं।,1,['specials'],['positive']
1884,Chocolate mud cake (warmed) को dulce de leche gelato के 2 scoops के साथ आज़माएं।,2,"['Chocolate mud cake (warmed)', 'dulce de leche gelato']","['positive', 'positive']"
1885,हमने NY Restaurant Week के दौरान Orsay का दौरा किया और उनके $ 35 menu को आज़माया।,1,['menu'],['neutral']
1886,"Restaurant week के लिए यहाँ आया था, ज्यादा save नहीं किया, लेकिन फिर भी great था।",0,[],[]
1887,Would NEVER go back there.,0,[],[]
1888,हम तीनों बिना किसी reservations के एक week night में लगभग 5:30 बजे dinner पर गए।,2,"['dinner', 'reservations']","['neutral', 'neutral']"
1889,"Blond wood decor बहुत soothing है, premium sake जबर्दस्त और service great है।",3,"['Blond wood decor', 'sake', 'service']","['positive', 'positive', 'positive']"
1890,Usually एक wait है लेकिन यह इसके लिए well worth है।,1,['wait'],['conflict']
1891,"सावधान, जब वे spicy कहते हैं, तो उनका मतलब spicy ही है!",0,[],[]
1892,"कमी केवल इतना - वे आपके bagel को toast नहीं करेंगे, और वे bagel के लिए eggs नहीं बनाते हैं।",3,"['bagel', 'eggs', 'bagel']","['negative', 'negative', 'negative']"
1893,हमेशा की तरह जब हमने wait किया तो हमे एक शानदार glass of wine मिला।,1,['glass of wine'],['positive']
1894,Service बहुत अच्छी और warm थी।,1,['Service'],['positive']
1895,मैंने dinner में chicken tikka-masala और कुछ garlic naan खाया।,3,"['chicken tikka-masala', 'garlic naan', 'dinner']","['neutral', 'neutral', 'neutral']"
1896,"जैसा कि अन्य ने कहा है, expect ना करें कि restaurant आपके लिए इसे एक romantic night out बना देगा और हाँ, एक busy restaurant में आपको wait करने की आवश्यकता हो सकती है।",0,[],[]
1897,Food अच्छा था और new york city skiline का view शानदार था यहां तक कि मैं तब foggy rainy day में गया था।,2,"['Food', 'view']","['positive', 'positive']"
1898,"और, क्योंकि यह बहुत thin है, यह quickly cold हो जाता है और यह इतना filling नहीं है।",0,[],[]
1899,Food अपने menu description जैसा बिलकुल नहीं है।,2,"['Food', 'menu description']","['negative', 'negative']"
1900,एक memorable और repeatable experience के लिए Chicken with Cashew Nuts या Pad Se-Ew को आज़माएँ।,2,"['Pad Se-Ew', 'Chicken with Cashew Nuts']","['positive', 'positive']"
1901,Pizza केवल O.K. है।,1,['Pizza'],['neutral']
1902,मैं अब यहां twice आ चुका हूं।,0,[],[]
1903,"Service थोड़ी slow थी, लेकिन वे बहुत friendly थे।",1,['Service'],['negative']
1904,"हालांकि, मैं इस restaurant के extraordinary hype को नहीं समझता हूँ।",0,[],[]
1905,यह एक छोटा cute restaurant है।,0,[],[]
1906,I will be returning.,0,[],[]
1907,Food midtown की तुलना में average से ज्यादा है और city के कुछ अन्य Heartland Breweries की तुलना में slightly better है।,1,['Food'],['positive']
1908,Food एकदम से horrible था!,1,['Food'],['negative']
1909,"Food premises में cooked नहीं लगता है, लेकिन एक high turnover है इसलिए यह pretty fresh है।",1,['Food'],['conflict']
1910,Restaurant गंदा और unkempt था।,0,[],[]
1911,Nice place though.,0,[],[]
1912,चेतावनी: Mizu visit के बाद आपको अन्य Japanese restaurants में dine करना difficult हो सकता है!,0,[],[]
1913,"अन्य Indian restaurants की तरह, वे भी customers को door पर attract करने के लिए dinner special का उपयोग करते हैं।",1,['dinner special'],['neutral']
1914,यह एक small restaurant है इसलिए early जाओ और यह nice और quiet होगा - देर से जाओ और इसे pack किया जाएगा!,0,[],[]
1915,"People with carts of food आपको नहीं समझते क्योंकि वे English नहीं बोलते हैं, उनका काम आपको delicious food देना है जिसे आप point करते हैं।",2,"['food', 'People with carts of food']","['positive', 'negative']"
1916,"Crackling calamari salad, जो usually कई restaurants में एक cheap dessert है, crispy और lightly dressed है।",1,['Crackling calamari salad'],['positive']
1917,हमें staff से कभी कोई problems नहीं है लेकिन maybe हम lucky रहे हैं?,1,['staff'],['positive']
1918,Moderate prices.,1,['prices'],['neutral']
1919,हमने पिछली night Jekyll और hyde Pub में एक शानदार time बिताया था।,0,[],[]
1920,इसे side by side आज़माएँ और कोई comparison नहीं है।,0,[],[]
1921,"यह tiny restaurant जितना cozy है, उतना ही वह certain Parisian flair के साथ है।",0,[],[]
1922,Buon appetito!,0,[],[]
1923,"ठीक है, हम सभी NYC के Village के लिए बढ़ रहे हैं, हमें restaurants के plethora ने spoiled कर दिया, जिनमें से अधिकांश बहुत late से खुले हैं।",0,[],[]
1924,"हालाँकि, service उतनी ही plain थी जितनी की मेरे पास sesame crusted Salmon थी।",2,"['service', 'sesame crusted Salmon']","['neutral', 'neutral']"
1925,मैं इसे highly recommend करूंगा।,0,[],[]
1926,Alone या friend के साथ quick lunch के लिए जाना बहुत अच्छा है।,1,['lunch'],['positive']
1927,LOVE THIS PLACE.,0,[],[]
1928,तो यहाँ कुछ reviews crowd और noise के बारे में सही है।,2,"['crowd', 'noise']","['negative', 'negative']"
1929,"आपको वही मिलता है जिसके लिए आप pay करते हैं और इस logic को mind में रखते हुए, Spice के beautiful setting में कुछ cheap eats और drinks के लिए एक शानदार place है।",3,"['eats', 'drinks', 'setting']","['positive', 'positive', 'positive']"
1930,मैं कई different restaurants में जाता और खाता हूं और यह एक place है जहां आप जाकर try कीजिये।,0,[],[]
1931,"हमने केवल desserts और drinks का order दिया, लेकिन कोई भी refills offer नहीं की गयी।",2,"['desserts', 'drinks']","['neutral', 'neutral']"
1932,Saul Smith Street और Brooklyn में सबसे अच्छा restaurant है।,0,[],[]
1933,Waiters slow लेकिन अच्छे थे।,1,['Waiters'],['conflict']
1934,"हालांकि, menu का असली kicker, beef cubes या chicken with chili and lemon grass है।",3,"['menu', 'beef cubes', 'chicken with chili and lemon grass']","['neutral', 'positive', 'positive']"
1935,जबकि meal से पहले मैंने जो bread और lamb chops खाया था वह काफी अच्छा था।,3,"['bread', 'lamb chops', 'meal']","['positive', 'positive', 'neutral']"
1936,Rao's की NYC में सबसे अच्छी service और atmosphere है।,2,"['service', 'atmosphere']","['positive', 'positive']"
1937,Dates या friends के साथ अच्छा।,0,[],[]
1938,"Cute place, अच्छी wait staff लेकिन फिर वहाँ कभी नहीं जाएंगे।",2,"['wait staff', 'place']","['positive', 'positive']"
1939,हमने एक अच्छा time बिताया।,0,[],[]
1940,People फिर से थोड़े rude हैं यह new york है!,1,['People'],['negative']
1941,हम सभी को लगा कि यह इसके लिए worth है।,0,[],[]
1942,"Plain slice शानदार है और अगर आपको toppings मिलती है, तो इसके top पर पूरी slice होगी, न कि कुछ places पर sparsely sprinkled होगी।",2,"['Plain slice', 'toppings']","['positive', 'positive']"
1943,Service भी horrible थी और ambience उतना great नहीं है।,2,"['Service', 'ambience']","['negative', 'negative']"
1944,"Service great है, takeout भी अच्छा है।",2,"['Service', 'takeout']","['positive', 'positive']"
1945,"इन reviews के आधार पर, यह appears होता है कि restaurant 7PM के बाद overwhelmed हो जाता है।",0,[],[]
1946,Pizza overpriced और soggy है।,1,['Pizza'],['negative']
1947,"सब कुछ excellent है, menu काफी extensive है, और आप city के दोनों sides पर एक view देखते हुए खाते हैं।",2,"['menu', 'view']","['positive', 'positive']"
1948,"आप city के किसी भी अन्य Italian restaurant में कम से कम double pay करेंगे, और अधिकांश को अभी भी compare नहीं कर सकते हैं।",0,[],[]
1949,"Quality of food, थोड़ा अधिक expensive है।",1,['Quality of food'],['negative']
1950,Horrible.,0,[],[]
1951,हमने tea room में खाने का decide किया जो small और cute था।,1,['tea room'],['positive']
1952,Unique apppetizers.,1,['apppetizers'],['positive']
1953,एक अच्छे restaurant में Monday night dinner के लिए town में यह सबसे अच्छी deal है।,1,['dinner'],['positive']
1954,इस place में कुछ special नहीं है।,0,[],[]
1955,"इसके अलावा, sandwiches ($ 7 के आस-पास) chips या side जैसी किसी चीज के साथ नहीं आया।",3,"['sandwiches', 'chips', 'side']","['negative', 'neutral', 'neutral']"
1956,and never strayed.,0,[],[]
1957,"Dim sum के लिए यहाँ wait ज्यादा है, लेकिन अगर आपको tables share करना पसंद नहीं है या अगर typical raucous dim sum atmosphere आपका gig नहीं है, तो यह sleek (Chinatown के लिए) alternative है।",4,"['wait', 'dim sum', 'dim sum atmosphere', 'tables']","['negative', 'neutral', 'neutral', 'positive']"
1958,Kids को home में छोड़ दो।,0,[],[]
1959,"सब कुछ हमेशा perfection के लिए पकाया जाता है, service excellent है, decor cool और understated है।",2,"['service', 'decor']","['positive', 'positive']"
1960,और ये सब आपके bank को break नहीं करेगा!,0,[],[]
1961,Thai food अच्छा है।,1,['Thai food'],['positive']
1962,शानदार selection of wine और seafood.,2,"['selection of wine', 'seafood']","['positive', 'positive']"
1963,delicious.,0,[],[]
1964,Acceptable prices.,1,['prices'],['positive']
1965,Big thumbs up!,0,[],[]
1966,हमें yasuda के सामने sushi bar में बैठाया गया।,1,['sushi bar'],['neutral']
1967,हम Chelsea में two years तक रहे हैं और इस restaurant को कभी noticed नहीं किया है।,0,[],[]
1968,"जैसा कि मैंने title बनाया, यह शानदार taste के लिए एक affordable restaurant है।",1,['taste'],['positive']
1969,उचित prices पर शानदार food.,2,"['food', 'prices']","['positive', 'positive']"
1970,Salads से meal शुरू करने का तरीका delicious है।,2,"['Salads', 'meal']","['positive', 'positive']"
1971,इसलिए आपको उसके लिए अधिक pay करना होगा।,0,[],[]
1972,I loved it.,0,[],[]
1973,"वे better Taiwanese restaurants हैं और वे Flushing, Queens में स्थित हैं।",0,[],[]
1974,Dinner की entree के लिए prices 9$ और lunch के लिए और कम है।,4,"['prices', 'entree', 'Dinner', 'lunch']","['positive', 'positive', 'neutral', 'positive']"
1975,"क्या आप cuisine से खुश होना चाहते है, तो definitely आज़माएँ।",1,['cuisine'],['positive']
1976,"मैंने black cod with yuzu sauce खाया, जो शानदार था।",1,['black cod with yuzu sauce'],['positive']
1977,इस cramped और unappealing resturant के लिए prices बहुत high हैं।,1,['prices'],['negative']
1978,Brooklyn जाने के लिए Tuk Tuk मेरे लिए एक rare choices में से एक है।,0,[],[]
1979,यह शांत अंधेरे asian bistro trip के लिए पूरा worth है।,0,[],[]
1980,Total hipster-wannabe attitude in an otherwise sweet spot.,1,['spot'],['positive']
1981,Sicilian मेरा favorite है यह moist है ना कि अधिकतर places की तरह dry है लेकिन उनके सभी pizza शानदार है।,2,"['pizza', 'Sicilian']","['positive', 'positive']"
1982,Downstairs lounge हमेशा एक अच्छा attraction रहा है।,1,['Downstairs lounge'],['positive']
1983,"Food शानदार था, और service prompt और helpful थी, लेकिन over-bearing या rushed नहीं था।",2,"['Food', 'service']","['positive', 'positive']"
1984,Takeout बहुत शानदार है क्योंकि वे high quality के tupperware भी देते हैं।,1,['Takeout'],['positive']
1985,"Food fresh नहीं था, sauces bland और बहुत oily थे।",2,"['Food', 'sauces']","['negative', 'negative']"
1986,"Beaten path से अलग, एक restaurant की jewel 6 वीं सड़क पर Indian restaurants के plethora से केवल एक block दूर है।",0,[],[]
1987,"फिर, waitress कमाल की थी।",1,['waitress'],['positive']
1988,Service fast और friendly थी और food बहुत tasty था और आपके meals में शामिल करने के लिए उनके पास best hot sauce था।,4,"['Service', 'food', 'hot sauce', 'meals']","['positive', 'positive', 'positive', 'neutral']"
1989,Boot के लिए zero ambiance.,1,['ambiance'],['negative']
1990,8pm के बाद थोड़ा loud मिला जब joints भर गया।,0,[],[]
1991,मैं next time के लिए wait नहीं कर सकता हूँ।,0,[],[]
1992,"सब कुछ बहुत great दिखता है, drinks, decor, food, जबकि people भी। ",3,"['drinks', 'decor', 'food']","['positive', 'positive', 'positive']"
1993,Parathas और kebabs बनता है जब नए freshness के एक level को ensuring करने का ordered दिया गया जो unsurpassed था।,2,"['Parathas', 'kebabs']","['positive', 'positive']"
1994,Great neighborhood joint.,0,[],[]
1995,"यह sometimes थोड़ा cramped हो जाता है, और थोड़ा warm होता है, लेकिन hello, यह NYC है!",0,[],[]
1996,"हमने चलने के लिए पूछा (जिसमें half an hour लगा), और तब एक high traffic area में पीछे बैठ गए थे, जबकि बाँकी rooms practically empty थे।",2,"['room', 'area']","['neutral', 'negative']"
1997,"Halibut बहुत salty था, dessert ऐसा ही था (अपने किसी calories को बर्बाद न करें) और service खराब थी।",3,"['Halibut', 'dessert', 'service']","['negative', 'neutral', 'negative']"
1998,"ये View बहुत शानदार, और food great है।",2,"['View', 'food']","['positive', 'positive']"
1999,अच्छे bagels और अच्छे cream cheese.,2,"['bagels', 'cream cheese']","['positive', 'positive']"
2000,"Food wonderful, tasty और filling है, और service professional और friendly है।",2,"['Food', 'service']","['positive', 'positive']"
2001,यह भी extremely अच्छी priced है।,1,['priced'],['positive']
2002,हमेशा शानदार service!,1,['service'],['positive']
2003,मैं happy हूँ मैंने जो food खाया वो awesome था।,1,['food'],['positive']
2004,मैं पूरे city के सभी restaurants में गया और Roth's Steakhouse तुरंत मेरे favorites में से एक बन गया।,0,[],[]
2005,"हमने chicken casserole का order किया, लेकिन हमें chicken के कुछ small pieces मिले, सभी dark meat और bone वाले थे।",3,"['chicken casserole', 'chicken', 'meat']","['negative', 'negative', 'negative']"
2006,Tracks की ओर से आने वाली wind से mezzanine वाली बहती थोड़ी breez.,1,['mezzanine'],['negative']
2007,मैं Valentines Day dinner के लिए DF गया।,1,['Valentines Day dinner'],['neutral']
2008,"मैंने jelly fish, drunken chicken और soupy dumplings, certainly एक stir fry blue crab को recommend किया। ",4,"['jelly fish', 'drunken chicken', 'soupy dumplings', 'stir fry blue crab']","['positive', 'positive', 'positive', 'positive']"
2009,मुझे यह SHOWS पसंद है।,1,['SHOWS'],['positive']
2010,"और मैं block के आसपास रहा हूँ, कुछ कम बोलने के लिए।",0,[],[]
2011,हमने dumpling menu से yummy dumplings का meal बनवाया था।,3,"['dumplings', 'meal', 'dumpling menu']","['positive', 'positive', 'positive']"
2012,इस place का aesthetics airport lounge के जैसा है।,2,"['aesthetics', 'place']","['negative', 'negative']"
2013,तब free में box wine को बांधे।,1,['box wine'],['positive']
2014,मैंने और मेरी wife ने इस week में पहले यहां खाये हैं और food के बारे में ranting और raving करना बंद नहीं किया है।,1,['food'],['positive']
2015,"यदि आप pre-sliced low quality fish लेना mind नहीं करते हैं, तो unfriendly staff और एक sushi chef जो आपके place की तुलना में miserable दिखता है।",3,"['fish', 'staff', 'sushi chef']","['negative', 'negative', 'negative']"
2016,Food भी अच्छा ही था - spectacular कुछ भी नहीं - लेकिन service awful थी।,2,"['Food', 'service']","['neutral', 'negative']"
2017,Pizza yummy है और मुझे atmoshpere पसंद है।,2,"['Pizza', 'atmoshpere']","['positive', 'positive']"
2018,Taj Mahal को छोड़कर बहुतों से और हमने ऊपर और नीचे के बहुत से wandered को खाली windows की seats को देख कर चुना।,1,['seats'],['negative']
2019,"जबकि, अपना favorite roll मांगने का कोई plan ना करें, यदि यह menu में नहीं है, तो आप नहीं खा सकते हैं।",2,"['roll', 'menu']","['negative', 'negative']"
2020,इसे try करें और enjoy करें।,0,[],[]
2021,अच्छा food है।,1,['food'],['positive']
2022,...and that's saying a lot.,0,[],[]
2023,"वे rolls बड़े थे, लेकिन अच्छे और sashimi fresh नहीं थे।",2,"['rolls', 'sashimi']","['conflict', 'negative']"
2024,"Pesto pizza शानदार था, thin-crust pizza के साथ अच्छे amount में spicy Italian cheese था जिसे मैंने पहले कभी नहीं सुना।",3,"['Pesto pizza', 'Italian cheese', 'thin-crust pizza']","['positive', 'positive', 'positive']"
2025,"केवल एक बात,जिसने मेरा attention खींचा कि मैंने two cats में से केवल एक को table के around दौड़ कर batting करते हुए देखा।",0,[],[]
2026,यदि आप thai में हैं...आप great restaurant को miss नहीं सकते।,0,[],[]
2027,"Ballato's जाना ऐसा है जैसे कि home आना और अपने kitchen में खाना, एक absolute delight है।",0,[],[]
2028,"Spicy shrimp appetizer को आज़माएँ (फिर, ना कि world में सबसे अधिक value का लेकिन price के योग्य है) और lamb vindaloo शानदार है।",3,"['shrimp appetizer', 'price', 'lamb vindaloo']","['positive', 'conflict', 'positive']"
2029,"हालांकि, ambience के लिए जाओ, और food को पूरे world trip के लिए एक companion की तरह consider करो! ",2,"['ambience', 'food']","['positive', 'negative']"
2030,मुझे यह place इस city में ज्यादा underrated लगता है।,0,[],[]
2031,Out-of-towners locations का ज्यादा मज़ा कौन लेगा!,0,[],[]
2032,"हर कोई जो कभी मेरे साथ यहां आया, एक convert और अपने friends के साथ regularly return हुआ है।",0,[],[]
2033,Food अच्छा था ना कि शानदार था जो wait या किसी दूसरे visit के लायक नहीं था।,2,"['Food', 'wait']","['conflict', 'negative']"
2034,मैं month में कम से कम 3 times जाता हूं और कभी disappointed नहीं होता।,0,[],[]
2035,"बिलकुल इस place के Chinese translation का मतलब Big Wong, जिसका actually मतलब Great Prosperity है।",0,[],[]
2036,मुझे लगता है कि restaurant romantic होने के लिए ज्यादा (जब full होता है) loud था।,0,[],[]
2037,"मैंने यहाँ बहुत dinners किए हैं और यह हमेशा date के लिए मेरे husband, मेरी mom, girlfriends और larger groups के साथ perfect रहा है।",1,['dinners'],['positive']
2038,"जब आप beef का एक piece चाहिए, head on over.",1,['beef'],['positive']
2039,"Delicate spices, onions, eggs और एक kick-ass roti.",4,"['spices', 'onions', 'eggs', 'roti']","['positive', 'positive', 'positive', 'positive']"
2040,बहुत ही दिलपसंद price में शानदार food मुझे यहाँ इस authentic Thai restaurant में हर दूसरे दिन वापस ले आती है।,2,"['food', 'price']","['positive', 'positive']"
2041,"मैंने actually में Patroon को यह लिखने से पहले एक और chance दिया था, लेकिन second visit और भी worse थी।",0,[],[]
2042,"इसके अलावा, यदि आप एक certain table पर नहीं बैठना चाहते हैं, तो आपको नहीं बैठना है!",1,['table'],['positive']
2043,Unbelievable.,0,[],[]
2044,थोड़ा pricey है लेकिन यह Sunday morning spot को वास्तव में hit करता है!,0,[],[]
2045,मैं Columbia University area में 10 years से 3 kids के साथ रह रहा हूँ - अब उनके teens में भी हूँ।,0,[],[]
